id_planta,comprimento_sepala,largura_sepala,comprimento_petala,largura_petala,cidade_origem,classe
0,18.4,4.8,3.2,2.1,Campinas,Iris-setosa
1,8.3,15.2,9.1,1.4,Campinas,Iris-setosa
2,12.5,22.4,5.9,2.2,Campinas,Iris-setosa
3,10.2,20.5,9.8,2.2,São Paulo,Iris-setosa
4,15.4,,6.9,0.2,Sorocaba,Iris-setosa
5,15.7,5.6,7.1,1.5,Campinas,Iris-setosa
6,18.7,12.8,4.7,2.4,Campinas,Iris-setosa
7,12.1,16.0,8.9,1.5,Sorocaba,Iris-setosa
8,18.8,,5.3,0.7,São Paulo,Iris-setosa
9,15.4,,4.9,0.0,São Paulo,Iris-setosa
10,4.1,5.9,9.4,0.0,Sorocaba,Iris-setosa
11,18.0,18.1,2.6,0.6,Sorocaba,Iris-setosa
12,12.0,18.2,7.6,0.1,São Paulo,Iris-setosa
13,17.6,19.6,6.8,2.1,Campinas,Iris-setosa
14,17.7,14.4,6.1,0.9,Campinas,Iris-setosa
15,7.1,19.1,4.2,0.2,Campinas,Iris-setosa
16,17.8,20.3,6.7,0.3,São Paulo,Iris-setosa
17,11.8,,1.4,2.4,Campinas,Iris-setosa
18,7.6,10.7,8.6,2.6,São Paulo,Iris-setosa
19,5.1,9.2,5.9,1.2,Sorocaba,Iris-setosa
20,11.5,23.2,6.9,1.0,Campinas,Iris-setosa
21,9.2,,9.9,2.5,Sorocaba,Iris-setosa
22,10.7,10.2,5.4,2.7,Sorocaba,Iris-setosa
23,5.1,21.0,4.9,0.7,Sorocaba,Iris-setosa
24,6.4,22.8,8.9,2.0,Campinas,Iris-setosa
25,18.4,4.5,3.0,2.6,São Paulo,Iris-setosa
26,16.9,8.8,3.6,0.1,Campinas,Iris-setosa
27,3.0,16.0,9.6,1.4,Campinas,Iris-setosa
28,18.2,13.3,6.3,2.5,São Paulo,Iris-setosa
29,19.4,6.3,1.8,0.9,São Paulo,Iris-setosa
30,12.1,11.6,2.9,1.6,Sorocaba,Iris-setosa
31,16.7,15.0,7.9,1.5,Campinas,Iris-setosa
32,6.7,13.8,,0.5,Campinas,Iris-setosa
33,16.8,20.7,9.5,2.4,Sorocaba,Iris-setosa
34,12.8,12.5,,1.0,Sorocaba,Iris-setosa
35,15.0,-104.39999999999999,8.1,1.0,Campinas,Iris-setosa
36,4.6,24.5,8.3,2.6,São Paulo,Iris-setosa
37,15.8,24.7,1.2,1.4,Sorocaba,Iris-setosa
38,8.1,21.5,5.3,1.6,Campinas,Iris-setosa
39,4.9,2.3,6.0,1.2,Campinas,Iris-setosa
40,19.9,8.2,1.1,0.5,São Paulo,Iris-setosa
41,9.5,4.7,5.2,2.3,Campinas,Iris-setosa
42,8.9,10.3,1.6,2.1,São Paulo,Iris-setosa
43,11.5,14.0,,0.4,Campinas,Iris-setosa
44,5.5,11.2,,0.9,Campinas,Iris-setosa
